PL_id,home_team,away_team
7467,Blackburn Rovers,Wolverhampton Wanderers
7468,Fulham,Aston Villa
7469,Liverpool,Sunderland
7470,Newcastle United,Arsenal
7471,Queens Park Rangers,Bolton Wanderers
7472,Wigan Athletic,Norwich City
7473,Stoke City,Chelsea
7474,West Bromwich Albion,Manchester United
7475,Manchester City,Swansea City
7476,Arsenal,Liverpool
7477,Aston Villa,Blackburn Rovers
7478,Chelsea,West Bromwich Albion
7479,Everton,Queens Park Rangers
7480,Sunderland,Newcastle United
7481,Swansea City,Wigan Athletic
7482,Bolton Wanderers,Manchester City
7483,Norwich City,Stoke City
7484,Wolverhampton Wanderers,Fulham
7485,Manchester United,Tottenham Hotspur
7486,Aston Villa,Wolverhampton Wanderers
7487,Blackburn Rovers,Everton
7488,Chelsea,Norwich City
7489,Liverpool,Bolton Wanderers
7490,Swansea City,Sunderland
7491,Wigan Athletic,Queens Park Rangers
7492,Manchester United,Arsenal
7493,Newcastle United,Fulham
7494,Tottenham Hotspur,Manchester City
7495,West Bromwich Albion,Stoke City
7496,Arsenal,Swansea City
7497,Bolton Wanderers,Manchester United
7498,Everton,Aston Villa
7499,Manchester City,Wigan Athletic
7500,Stoke City,Liverpool
7501,Sunderland,Chelsea
7502,Wolverhampton Wanderers,Tottenham Hotspur
7503,Fulham,Blackburn Rovers
7504,Norwich City,West Bromwich Albion
7505,Queens Park Rangers,Newcastle United
7506,Aston Villa,Newcastle United
7507,Blackburn Rovers,Arsenal
7508,Bolton Wanderers,Norwich City
7509,Everton,Wigan Athletic
7510,Swansea City,West Bromwich Albion
7511,Wolverhampton Wanderers,Queens Park Rangers
7512,Fulham,Manchester City
7513,Manchester United,Chelsea
7514,Sunderland,Stoke City
7515,Tottenham Hotspur,Liverpool
7516,Arsenal,Bolton Wanderers
7517,Chelsea,Swansea City
7518,Liverpool,Wolverhampton Wanderers
7519,Manchester City,Everton
7520,Newcastle United,Blackburn Rovers
7521,Stoke City,Manchester United
7522,West Bromwich Albion,Fulham
