season,match_week,date,kickoff,referee,stadium,attendance,home,away,home_score,away_score,home_ht_score,away_ht_score,home_goals,away_goals,home_yellow_pl,away_yellow_pl,home_red_pl,away_red_pl,home_posse,away_posse,home_shotsON,away_shotsON,home_shots,away_shots,home_passes,away_passes,home_corners,away_corners,home_offsides,away_offsides,home_yellows,away_yellows,home_reds,away_reds,home_fouls,away_fouls,home_lineup,away_lineup
2019/20,1,Fri 9 Aug 2019,16:00,Michael Oliver,Anfield- Liverpool,Att: 53333,Liverpool,Norwich City,4,1,4,0,Grant Hanley 7' (og) - Mohamed Salah 19' - Virgil van Dijk 28' - Divock Origi 42' - ,Teemu Pukki 64' - ,,Moritz Leitner - Emiliano Buendía - ,,,57.9,42.1,7.0,5.0,15.0,12.0,477.0,363.0,11.0,2.0,0.0,5.0,0.0,2.0,0,0,9.0,9.0,Alisson - Virgil van Dijk - Joseph Gomez - Andrew Robertson - Trent Alexander-Arnold - Fabinho - Georginio Wijnaldum - Jordan Henderson - Roberto Firmino - Mohamed Salah - Divock Origi - ,Tim Krul - Max Aarons - Grant HanleyOwn  - Jamal Lewis - Ben Godfrey - Tom Trybull - Todd Cantwell - Emiliano Buendía - Marco Stiepermann - Kenny McLean - Teemu Pukki - 
2019/20,1,Sat 10 Aug 2019,11:00,Kevin Friend,Vitality Stadium- Bournemouth,Att: 10714,AFC Bournemouth,Sheffield United,1,1,0,0,Chris Mepham 62' - ,Billy Sharp 88' - ,Adam Smith - Ryan Fraser - ,John Fleck - ,,,52.9,47.1,3.0,3.0,13.0,8.0,485.0,428.0,3.0,4.0,1.0,1.0,2.0,1.0,0,0,10.0,19.0,Aaron Ramsdale - Steve Cook - Nathan Aké - Chris Mepham - Jefferson Lerma - Adam Smith - Diego Rico - Philip Billing - Joshua King - Callum Wilson - Ryan Fraser - ,Dean Henderson - Jack O'Connell - Chris Basham - John Egan - George Baldock - Enda Stevens - John Fleck - John Lundstram - Oliver Norwood - Callum Robinson - David McGoldrick - 
2019/20,1,Sat 10 Aug 2019,11:00,Graham Scott,Turf Moor- Burnley,Att: 19784,Burnley,Southampton,3,0,0,0,Ashley Barnes 63'  70' - Jóhann Gudmundsson 75' - ,,,,,,46.5,53.5,4.0,3.0,10.0,11.0,332.0,393.0,2.0,7.0,5.0,1.0,0,0,0,0,6.0,12.0,Nick Pope - Matthew Lowton - James Tarkowski - Ben Mee - Erik Pieters - Jack Cork - Jóhann Gudmundsson - Dwight McNeil - Ashley Westwood - Chris Wood - Ashley Barnes  - ,Angus Gunn - Jannik Vestergaard - Jack Stephens - Jan Bednarek - Oriol Romeu - James Ward-Prowse - Ryan Bertrand - Yan Valery - Danny Ings - Che Adams - Nathan Redmond - 
2019/20,1,Sat 10 Aug 2019,11:00,Jonathan Moss,Selhurst Park- London,Att: 25151,Crystal Palace,Everton,0,0,0,0,,,Max Meyer - Luka Milivojevic - ,Bernard - Morgan Schneiderlin - ,,Morgan Schneiderlin - ,35.4,64.6,2.0,3.0,6.0,10.0,268.0,500.0,6.0,2.0,4.0,0.0,2.0,1.0,0.0,1.0,16.0,14.0,Vicente Guaita - Joel Ward - Patrick van Aanholt - Scott Dann - Martin Kelly - Luka Milivojevic - Max Meyer - Andros Townsend - James McArthur - Jordan Ayew - Christian Benteke - ,Jordan Pickford - Michael Keane - Lucas Digne - Yerry Mina - Séamus Coleman - Richarlison - Gylfi Sigurdsson - Morgan Schneiderlin  - Bernard - André Gomes - Dominic Calvert-Lewin - 
2019/20,1,Sun 11 Aug 2019,10:00,Andre Marriner,King Power Stadium- Leicester,Att: 32015,Leicester City,Wolverhampton Wanderers,0,0,0,0,,,,Jonny - Rúben Neves - ,,,70,30,1,2,16,8,665,291,12,3,0,1,0,2,0,0,3,13,Kasper Schmeichel - Ben Chilwell - Çaglar Söyüncü - Jonny Evans - Ricardo Pereira - Youri Tielemans - James Maddison - Ayoze Pérez - Hamza Choudhury - Wilfred Ndidi - Jamie Vardy - ,Rui Patrício - Ryan Bennett - Willy Boly - Conor Coady - Matt Doherty - Rúben Neves - Jonny - João Moutinho - Leander Dendoncker - Raúl Jiménez - Diogo Jota - 
2019/20,1,Sat 10 Aug 2019,13:30,Chris Kavanagh,Tottenham Hotspur Stadium- London,Att: 60407,Tottenham Hotspur,Aston Villa,3,1,0,1,Tanguy Ndombele 73' - Harry Kane 86'  90' - ,John McGinn 9' - ,Erik Lamela - ,,,,70.1,29.9,7.0,4.0,31.0,7.0,587.0,256.0,14.0,0.0,1.0,0.0,1.0,0.0,0,0,13.0,9.0,Hugo Lloris - Danny Rose - Toby Alderweireld - Davinson Sánchez - Kyle Walker-Peters - Harry Winks - Erik Lamela - Moussa Sissoko - Tanguy Ndombele - Harry Kane  - Lucas Moura - ,Tom Heaton - Neil Taylor - Björn Engels - Ahmed El Mohamady - Tyrone Mings - John McGinn - Jack Grealish - Conor Hourihane - Trézéguet - Anwar El Ghazi - Wesley - 
2019/20,1,Sat 10 Aug 2019,11:00,Craig Pawson,Vicarage Road- Watford,Att: 20245,Watford,Brighton and Hove Albion,0,3,0,1,,Abdoulaye Doucouré 28' (og) - Florin Andone 65' - Neal Maupay 77' - ,,Lewis Dunk - ,,,48.2,51.8,3.0,3.0,11.0,5.0,414.0,442.0,5.0,2.0,0.0,3.0,0.0,1.0,0,0,15.0,11.0,Ben Foster - Craig Dawson - Craig Cathcart - Kiko Femenía - José Holebas - Gerard Deulofeu - Abdoulaye DoucouréOwn  - Will Hughes - Etienne Capoue - Troy Deeney - Andre Gray - ,Mat Ryan - Shane Duffy - Lewis Dunk - Dan Burn - Dale Stephens - Solly March - Martín Montoya - Davy Pröpper - Jürgen Locadia - Pascal Groß - Glenn Murray - 
2019/20,1,Sat 10 Aug 2019,08:30,Mike Dean,London Stadium- London,Att: 59870,West Ham United,Manchester City,0,5,0,1,,Gabriel Jesus 25' - Raheem Sterling 51'  75'  90 +1' - Sergio Agüero 86' (pen) - ,Fabián Balbuena - Felipe Anderson - ,Kyle Walker - Raheem Sterling - ,,,42.9,57.1,3.0,9.0,5.0,14.0,403.0,547.0,1.0,1.0,2.0,4.0,2.0,2.0,0,0,6.0,13.0,Lukasz Fabianski - Aaron Cresswell - Fabián Balbuena - Issa Diop - Ryan Fredericks - Felipe Anderson - Manuel Lanzini - Jack Wilshere - Michail Antonio - Declan Rice - Sébastien Haller - ,Ederson - Kyle Walker - John Stones - Oleksandr Zinchenko - Aymeric Laporte - Rodrigo - Kevin De Bruyne - David Silva - Raheem Sterling    - Gabriel Jesus - Riyad Mahrez - 
2019/20,1,Sun 11 Aug 2019,12:30,Anthony Taylor,Old Trafford- Manchester,Att: 73620,Manchester United,Chelsea,4,0,1,0,Marcus Rashford 18' (pen)  67' - Anthony Martial 65' - Daniel James 81' - ,,Jesse Lingard - Victor Lindelöf - Anthony Martial - ,Kurt Zouma - Jorginho - Tammy Abraham - N'Golo Kanté - ,,,46.2,53.8,5.0,7.0,11.0,18.0,449.0,523.0,3.0,5.0,2.0,0.0,3.0,4.0,0,0,15.0,13.0,David de Gea - Victor Lindelöf - Harry Maguire - Luke Shaw - Aaron Wan-Bissaka - Paul Pogba - Marcus RashfordPen. Scored  - Jesse Lingard - Andreas Pereira - Scott McTominay - Anthony Martial  - ,Kepa Arrizabalaga - Kurt Zouma - Andreas Christensen - César Azpilicueta - Emerson - Jorginho - Ross Barkley - Pedro - Mateo Kovacic - Mason Mount - Tammy Abraham - 
2019/20,1,Sun 11 Aug 2019,10:00,Martin Atkinson,St. James' Park- Newcastle,Att: 47635,Newcastle United,Arsenal,0,1,0,0,,Pierre-Emerick Aubameyang 58' - ,Miguel Almirón - ,Reiss Nelson - Henrikh Mkhitaryan - Granit Xhaka - ,,,38.1,61.9,2.0,2.0,9.0,8.0,378.0,616.0,5.0,3.0,1.0,3.0,1.0,3.0,0,0,12.0,7.0,Martin Dubravka - Paul Dummett - Fabian Schär - Jamaal Lascelles - Jonjo Shelvey - Matt Ritchie - Isaac Hayden - Javier Manquillo - Sean Longstaff - Joelinton - Miguel Almirón - ,Bernd Leno - Sokratis - Ainsley Maitland-Niles - Nacho Monreal - Calum Chambers - Henrikh Mkhitaryan - Reiss Nelson - Joseph Willock - Matteo Guendouzi - Granit Xhaka - Pierre-Emerick Aubameyang - 
