"ano";"mes";"hom_doloso";"lesao_corp_morte";"latrocinio";"hom_por_interv_policial";"letalidade_violenta";"tentat_hom";"lesao_corp_dolosa";"estupro";"hom_culposo";"lesao_corp_culposa";"roubo_comercio";"roubo_residencia";"roubo_veiculo";"roubo_carga";"roubo_transeunte";"roubo_em_coletivo";"roubo_banco";"roubo_cx_eletronico";"roubo_celular";"roubo_conducao_saque";"roubo_apos_saque";"roubo_bicicleta";"outros_roubos";"total_roubos";"furto_veiculos";"furto_transeunte";"furto_coletivo";"furto_celular";"furto_bicicleta";"outros_furtos";"total_furtos";"sequestro";"extorsao";"sequestro_relampago";"estelionato";"apreensao_drogas";"posse_drogas";"trafico_drogas";"apreensao_drogas_sem_autor";"recuperacao_veiculos";"apf";"aaapai";"cmp";"cmba";"ameaca";"pessoas_desaparecidas";"encontro_cadaver";"encontro_ossada";"pol_militares_mortos_serv";"pol_civis_mortos_serv";"indicador_cvli";"indicador_roubo_rua";"indicador_roubo_veic";"indicador_roubo_carga";"registro_ocorrencias";"fase"
2003;1;"4,01";"0,04";"0,14";"0,61";"4,8";"2,48";"46,94";"1,67";"1,11";"21,08";"4,01";"1,17";;"2,43";"9,71";"4,48";"0,03";"0,01";"6,58";"0,12";"1,43";;"18,09";"70,08";;"6,69";"0,33";"5,17";;"45,95";"71,36";"0,01";"0,16";"0";"6,02";"6,83";;;;;;;;;"41,71";"2,78";"0,98";"0,02";;;"4,19";"20,77";;"2,43";"304,9";3
2003;2;"3,97";"0,03";"0,08";"0,76";"4,83";"2,46";"48,32";"1,5";"1,28";"21,83";"4,9";"1,16";;"3,02";"10,43";"4,7";"0,08";"0";"6,55";"0,14";"1,59";;"18,24";"72,38";;"5,84";"0,36";"4,41";;"47,95";"70,35";"0,02";"0,2";"0";"5,46";"7,89";;;;;;;;;"41,16";"2,89";"1,27";"0,03";;;"4,08";"21,69";;"3,02";"309,05";3
2003;3;"4,17";"0,03";"0,11";"0,77";"5,08";"2,26";"47,43";"1,61";"1,28";"20,37";"4,36";"1,21";;"2,11";"10,46";"4,65";"0,05";"0,01";"6,68";"0,22";"1,29";;"16,96";"67,9";;"6,42";"0,37";"4,4";;"51,04";"74,71";"0";"0,2";"0";"5,59";"7,71";;;;;;;;;"39,43";"3,14";"1,06";"0,05";;;"4,32";"21,79";;"2,11";"309,13";3
2003;4;"3,98";"0,07";"0,1";"0,85";"5";"2,02";"43,84";"1,46";"1,41";"20,98";"4,78";"1,15";;"2,06";"10,41";"4,25";"0,07";"0";"6,85";"0,25";"1,58";;"17,99";"69,57";;"5,31";"0,39";"3,68";;"49,94";"70,85";"0,02";"0,28";"0";"5,57";"7,22";;;;;;;;;"38,29";"2,35";"0,82";"0,03";;;"4,15";"21,51";;"2,06";"300,72";3
2003;5;"4,08";"0,04";"0,14";"0,65";"4,91";"2,59";"39,77";"1,29";"1,55";"22,34";"4,85";"1,28";;"2,35";"10,6";"4,51";"0,02";"0,01";"7,3";"0,18";"1,86";;"19,51";"74,01";;"5,53";"0,39";"3,77";;"48,91";"70,87";"0,01";"0,39";"0";"5,95";"6,94";;;;;;;;;"37";"2,84";"1";"0,03";;;"4,25";"22,41";;"2,35";"310,15";3
2003;6;"3,72";"0,01";"0,1";"0,59";"4,41";"2,15";"42,88";"1,35";"1,61";"22,04";"4,38";"0,95";;"2,12";"9,7";"3,67";"0,03";"0";"6,55";"0,21";"1,67";;"16,92";"64,5";;"5,35";"0,24";"3,29";;"43,29";"62,63";"0,01";"0,4";"0";"5,85";"7,65";;;;;;;;;"38,56";"2,63";"0,94";"0,03";;;"3,82";"19,93";;"2,12";"300,05";3
2003;7;"3,55";"0,05";"0,11";"0,67";"4,39";"2,76";"41,09";"1,27";"1,32";"21,74";"5,14";"1,17";;"2,18";"9,4";"2,87";"0,03";"0";"6,86";"0,15";"1,87";;"16,91";"63,7";;"4,91";"0,24";"3,86";;"44,42";"64,68";"0";"0,32";"0,02";"6,58";"8,13";;;;;;;;;"37,53";"2,26";"0,79";"0,02";;;"3,72";"19,12";;"2,18";"300,92";3
2003;8;"3,37";"0,03";"0,07";"0,63";"4,1";"2,69";"39,3";"1,38";"1,26";"21,9";"3,92";"1,1";;"2,06";"10,04";"2,35";"0,01";"0";"7,01";"0,12";"1,52";;"17,46";"62,58";;"4,89";"0,28";"3,6";;"42,73";"62,21";"0,01";"0,34";"0,04";"6,06";"7,85";;;;;;;;;"35,62";"2,59";"1,22";"0,03";;;"3,46";"19,4";;"2,06";"286,35";3
2003;9;"3,45";"0,03";"0,11";"0,69";"4,27";"1,83";"40,8";"1,46";"1,23";"21,45";"3,85";"1,27";;"1,83";"10,13";"2,54";"0,01";"0,01";"8,1";"0,18";"1,61";;"18,79";"65,3";;"4,69";"0,23";"4,42";;"45,39";"65,11";"0,01";"0,52";"0,03";"6,51";"7,65";;;;;;;;;"39,24";"2,88";"0,72";"0,03";;;"3,58";"20,77";;"1,83";"299,79";3
2003;10;"3,29";"0,01";"0,11";"0,89";"4,3";"2,32";"41,65";"1,41";"1,26";"24,02";"3,79";"0,96";;"2,44";"9,81";"2,32";"0";"0,01";"8,6";"0,18";"1,63";;"18,78";"66,73";;"4,64";"0,21";"4,34";;"45,61";"65,26";"0";"0,81";"0,02";"6,83";"8,03";;;;;;;;;"38,42";"2,59";"0,65";"0,04";;;"3,41";"20,74";;"2,44";"304,43";3
2003;11;"3,56";"0,02";"0,08";"0,51";"4,16";"2,18";"46,13";"1,56";"1,17";"22,84";"3,52";"1,04";;"2,2";"9,72";"2,46";"0,01";"0";"7,61";"0,09";"1,57";;"16,97";"61,56";;"5,1";"0,26";"4,4";;"43,9";"64,17";"0,01";"0,59";"0,03";"6,42";"7,91";;;;;;;;;"40,69";"2,93";"0,7";"0,03";;;"3,66";"19,79";;"2,2";"296,49";3
2003;12;"3,72";"0,01";"0,08";"0,48";"4,3";"2,19";"51,55";"1,49";"1,62";"25,76";"3,66";"1,23";;"2,77";"10,67";"2,04";"0,03";"0,01";"7,68";"0,13";"1,89";;"18,32";"66,43";;"6,22";"0,15";"4,09";;"46,79";"67,28";"0,01";"0,59";"0,03";"5,68";"6,59";;;;;;;;;"42,74";"2,62";"0,87";"0,01";;;"3,82";"20,39";;"2,77";"308,32";3
2004;1;"3,89";"0,03";"0,08";"0,52";"4,52";"2,04";"44,12";"1,66";"1,26";"21,81";"3,1";"1,14";;"1,97";"9,32";"2,16";"0,01";"0,03";"8,78";"0,18";"1,54";;"19,34";"65,56";;"5,44";"0,23";"5,34";;"46,64";"69,4";"0";"0,64";"0,03";"6,48";"7,26";;;;;;;;;"42,22";"2,94";"0,97";"0,07";;;"4";"20,26";;"1,97";"304,93";3
2004;2;"3,64";"0,03";"0,11";"0,44";"4,21";"2,13";"43,48";"1,34";"1,2";"21,32";"3,16";"1,1";;"1,88";"9,63";"2,72";"0,01";"0,02";"7,24";"0,11";"1,7";;"18,03";"61,03";;"5,47";"0,34";"4,84";;"46,15";"67,45";"0,01";"0,59";"0,03";"5,66";"7,01";;;;;;;;;"34,71";"2,67";"0,71";"0,02";;;"3,78";"19,6";;"1,88";"284,97";3
2004;3;"3,56";"0,01";"0,11";"0,55";"4,23";"2,29";"43,47";"1,74";"1,25";"21,66";"3,67";"1,21";;"2,61";"10,29";"3,07";"0,03";"0";"9,37";"0,13";"1,9";;"19,84";"70,82";;"5,01";"0,32";"5,41";;"49,57";"71,73";"0";"0,83";"0,03";"7,05";"6,71";;;;;;;;;"39,62";"2,67";"0,66";"0,03";;;"3,68";"22,73";;"2,61";"320,14";3
2004;4;"3,46";"0,01";"0,14";"0,46";"4,06";"1,82";"41,7";"1,61";"1,47";"21,23";"3,61";"1,01";;"2,84";"12,72";"3,06";"0,02";"0,01";"6,7";"0,12";"1,47";;"15,76";"66,79";;"4,6";"0,43";"4,8";;"44,05";"65,44";"0,01";"0,52";"0,02";"6,72";"6,45";;;;;;;;;"36,63";"2,75";"0,75";"0,03";;;"3,61";"22,48";;"2,84";"302,19";3
