Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
14043;Depew;NY;42.904958;-78.7006;-5;1;42.904958,-78.7006
13827;Owego;NY;42.120274;-76.25874;-5;1;42.120274,-76.25874
14739;Friendship;NY;42.192384;-78.14308;-5;1;42.192384,-78.14308
11703;North Babylon;NY;40.733398;-73.32257;-5;1;40.733398,-73.32257
11707;West Babylon;NY;40.922326;-72.637078;-5;1;40.922326,-72.637078
12442;Hunter;NY;42.222061;-74.23418;-5;1;42.222061,-74.23418
13334;Eaton;NY;42.83917;-75.65482;-5;1;42.83917,-75.65482
13626;Copenhagen;NY;43.859025;-75.72942;-5;1;43.859025,-75.72942
10965;Pearl River;NY;41.063329;-74.01734;-5;1;41.063329,-74.01734
12151;Round Lake;NY;42.932326;-73.79363;-5;1;42.932326,-73.79363
12195;West Lebanon;NY;42.479384;-73.474809;-5;1;42.479384,-73.474809
14617;Rochester;NY;43.223213;-77.59721;-5;1;43.223213,-77.59721
11716;Bohemia;NY;40.770042;-73.11376;-5;1;40.770042,-73.11376
12719;Barryville;NY;41.480326;-74.92694;-5;1;41.480326,-74.92694
13479;Washington Mills;NY;43.053769;-75.271559;-5;1;43.053769,-75.271559
10072;New York;NY;40.780751;-73.977182;-5;1;40.780751,-73.977182
10166;New York;NY;40.754591;-73.976238;-5;1;40.754591,-73.976238
10998;Westtown;NY;41.334034;-74.54593;-5;1;41.334034,-74.54593
11560;Locust Valley;NY;40.881957;-73.59417;-5;1;40.881957,-73.59417
14150;Tonawanda;NY;43.001907;-78.8631;-5;1;43.001907,-78.8631
12197;Worcester;NY;42.610314;-74.72401;-5;1;42.610314,-74.72401
13147;Scipio Center;NY;42.774714;-76.57045;-5;1;42.774714,-76.57045
12771;Port Jervis;NY;41.374734;-74.66315;-5;1;41.374734,-74.66315
12810;Athol;NY;43.484741;-73.89151;-5;1;43.484741,-73.89151
13350;Herkimer;NY;43.038149;-74.9846;-5;1;43.038149,-74.9846
13655;Hogansburg;NY;44.98184;-74.67374;-5;1;44.98184,-74.67374
13788;Hobart;NY;42.368357;-74.66452;-5;1;42.368357,-74.66452
14717;Caneadea;NY;42.37074;-78.19335;-5;1;42.37074,-78.19335
13459;Sharon Springs;NY;42.774077;-74.58404;-5;1;42.774077,-74.58404
14642;Rochester;NY;43.286024;-77.684264;-5;1;43.286024,-77.684264
10986;Tomkins Cove;NY;41.271543;-73.98676;-5;1;41.271543,-73.98676
11763;Medford;NY;40.820786;-72.98375;-5;1;40.820786,-72.98375
12139;Piseco;NY;43.40276;-74.56972;-5;1;43.40276,-74.56972
12509;La Grange;NY;41.643599;-73.847176;-5;1;41.643599,-73.847176
13503;Utica;NY;43.101869;-75.231158;-5;1;43.101869,-75.231158
13135;Phoenix;NY;43.235916;-76.31339;-5;1;43.235916,-76.31339
14301;Niagara Falls;NY;43.096555;-79.03925;-5;1;43.096555,-79.03925
13082;Kirkville;NY;43.099547;-75.9619;-5;1;43.099547,-75.9619
10506;Bedford;NY;41.195778;-73.62777;-5;1;41.195778,-73.62777
13312;Brantingham;NY;43.689564;-75.27252;-5;1;43.689564,-75.27252
12789;Woodridge;NY;41.708062;-74.5698;-5;1;41.708062,-74.5698
14472;Honeoye Falls;NY;42.964593;-77.5919;-5;1;42.964593,-77.5919
11783;Seaford;NY;40.679752;-73.48959;-5;1;40.679752,-73.48959
12245;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12861;Putnam Station;NY;43.74531;-73.41569;-5;1;43.74531,-73.41569
13860;West Davenport;NY;42.183045;-74.925617;-5;1;42.183045,-74.925617
14612;Rochester;NY;43.256462;-77.66183;-5;1;43.256462,-77.66183
13840;Smithboro;NY;42.039512;-76.400376;-5;1;42.039512,-76.400376
14754;Little Genesee;NY;42.020028;-78.20368;-5;1;42.020028,-78.20368
14901;Elmira;NY;42.091924;-76.79217;-5;1;42.091924,-76.79217
12305;Schenectady;NY;42.814476;-73.94337;-5;1;42.814476,-73.94337
12402;Kingston;NY;41.878801;-74.345684;-5;1;41.878801,-74.345684
13843;South New Berlin;NY;42.533274;-75.38008;-5;1;42.533274,-75.38008
10607;White Plains;NY;41.041191;-73.80953;-5;1;41.041191,-73.80953
13664;Morristown;NY;44.585561;-75.64797;-5;1;44.585561,-75.64797
14482;Le Roy;NY;42.979887;-77.97053;-5;1;42.979887,-77.97053
14214;Buffalo;NY;42.941407;-78.83741;-5;1;42.941407,-78.83741
10268;New York;NY;40.780751;-73.977182;-5;1;40.780751,-73.977182
10917;Central Valley;NY;41.322344;-74.12354;-5;1;41.322344,-74.12354
12784;Thompsonville;NY;41.676139;-74.6217;-5;1;41.676139,-74.6217
13104;Manlius;NY;42.987329;-75.96763;-5;1;42.987329,-75.96763
13208;Syracuse;NY;43.074566;-76.14747;-5;1;43.074566,-76.14747
10547;Mohegan Lake;NY;41.314676;-73.85118;-5;1;41.314676,-73.85118
11937;East Hampton;NY;40.995384;-72.18564;-5;1;40.995384,-72.18564
12527;Glenham;NY;41.520249;-73.933259;-5;1;41.520249,-73.933259
13658;Lisbon;NY;44.744462;-75.28123;-5;1;44.744462,-75.28123
13688;South Rutland;NY;43.951666;-75.767772;-5;1;43.951666,-75.767772
14138;South Dayton;NY;42.372077;-79.05552;-5;1;42.372077,-79.05552
12233;Albany;NY;42.614852;-73.970812;-5;1;42.614852,-73.970812
12515;Clintondale;NY;41.681096;-74.06421;-5;1;41.681096,-74.06421
13638;Felts Mills;NY;44.021094;-75.76113;-5;1;44.021094,-75.76113
14054;East Bethany;NY;42.903676;-78.13481;-5;1;42.903676,-78.13481
13333;East Springfield;NY;42.843048;-74.80882;-5;1;42.843048,-74.80882
13820;Oneonta;NY;42.469761;-75.05192;-5;1;42.469761,-75.05192
14437;Dansville;NY;42.576771;-77.71925;-5;1;42.576771,-77.71925
14506;Mendon;NY;42.999201;-77.50263;-5;1;42.999201,-77.50263
14606;Rochester;NY;43.168062;-77.68132;-5;1;43.168062,-77.68132
14737;Franklinville;NY;42.335628;-78.43114;-5;1;42.335628,-78.43114
12075;Ghent;NY;42.305793;-73.6514;-5;1;42.305793,-73.6514
12489;Wawarsing;NY;41.757766;-74.35392;-5;1;41.757766,-74.35392
12418;Cornwallville;NY;42.357579;-74.15136;-5;1;42.357579,-74.15136
13133;Colesville;NY;42.216968;-75.724015;-5;1;42.216968,-75.724015
11417;Ozone Park;NY;40.675534;-73.84476;-5;1;40.675534,-73.84476
10940;Middletown;NY;41.449364;-74.43951;-5;1;41.449364,-74.43951
12930;Dickinson Center;NY;44.731571;-74.53485;-5;1;44.731571,-74.53485
14228;Buffalo;NY;43.023347;-78.79494;-5;1;43.023347,-78.79494
10706;Hastings On Hudson;NY;40.992084;-73.8729;-5;1;40.992084,-73.8729
